CIVILSTAND;OMRÅDE;TID;INDHOLD
I alt;Sønderborg;2020K1;74220
I alt;Lolland;2020K1;41105
I alt;Ishøj;2020K1;22989
I alt;Stevns;2020K1;22805
I alt;Samsø;2020K1;3657
Ugift;Sønderborg;2020K1;32107
Ugift;Lolland;2020K1;17132
Ugift;Ishøj;2020K1;10808
Ugift;Stevns;2020K1;9085
Ugift;Samsø;2020K1;1281
